Game_Key,Mins_Since_Tipoff,Sentiment_Lakers,Sentiment_Heat
Game1,-42,0,0.2
Game1,-38,0.2,0
Game1,-33,0.1,0.1
Game1,-28,-0.1,0
Game1,-23,0.1,0
Game1,-17,-0.1,0.1
Game1,-12,0.1,-0.1
Game1,-8,0.1,-0.2
Game1,-3,0,-0.1
Game1,6,-0.2,-0.3
Game1,11,-0.3,-0.2
Game1,16,0,-0.3
Game1,21,-0.1,-0.2
Game1,26,0.1,-0.3
Game1,31,0,-0.3
Game1,36,-0.2,-0.2
Game1,41,0.1,-0.1
Game1,46,0,-0.2
Game1,51,-0.2,-0.3
Game1,56,-0.2,-0.3
Game1,61,-0.1,-0.4
Game1,66,-0.1,-0.3
Game1,71,-0.1,-0.3
Game1,76,-0.1,-0.2
Game1,81,0,-0.2
Game1,86,-0.1,-0.2
Game1,91,0,-0.3
Game1,96,-0.1,-0.2
Game1,101,-0.2,-0.1
Game1,106,-0.2,0
Game1,111,-0.1,-0.1
Game1,116,-0.2,-0.2
Game1,121,-0.2,-0.2
Game1,126,-0.2,-0.3
Game1,131,-0.1,-0.2
Game1,136,-0.3,-0.3
Game1,141,-0.1,-0.1
Game1,146,0,-0.3
Game1,151,-0.1,-0.2
Game2,-65,0.1,0
Game2,-61,0,-0.3
Game2,-57,0,-0.6
Game2,-53,0.1,-0.2
Game2,-48,-0.3,-0.3
Game2,-42,0,0.2
Game2,-38,0.2,0
Game2,-33,-0.1,0.1
Game2,-28,-0.1,0
Game2,-23,-0.1,0
Game2,-17,-0.3,0.1
Game2,-12,0,-0.1
Game2,-8,-0.1,-0.2
Game2,-3,0,-0.1
Game2,6,0,-0.3
Game2,11,-0.1,-0.2
Game2,16,-0.2,-0.3
Game2,21,-0.1,-0.2
Game2,26,-0.2,-0.3
Game2,31,-0.2,-0.3
Game2,36,-0.1,-0.2
Game2,41,-0.2,-0.1
Game2,46,-0.2,-0.2
Game2,51,-0.2,-0.3
Game2,56,0,-0.3
Game2,61,-0.1,-0.4
Game2,66,-0.1,-0.3
Game2,71,-0.2,-0.3
Game2,76,-0.1,-0.2
Game2,81,0,-0.2
Game2,86,0,-0.2
Game2,91,-0.1,-0.3
Game2,96,-0.1,-0.2
Game2,101,-0.1,-0.1
Game2,106,-0.2,0
Game2,111,-0.2,-0.1
Game2,116,-0.2,-0.2
Game2,121,-0.3,-0.2
Game2,126,-0.2,-0.3
Game2,131,-0.2,-0.2
Game2,136,-0.1,-0.3
Game2,141,0,-0.1
Game2,146,-0.2,-0.3
Game2,151,0.1,-0.2
Game2,157,0,-0.6
Game2,162,0.2,0
Game2,166,0.2,-0.4
Game2,172,0.1,-0.5
Game2,178,0.1,0.4
Game2,188,-0.4,0
Game3,-71,0.3,-0.6
Game3,-61,0.1,0.1
Game3,-56,0.3,-0.2
Game3,-53,0.2,-0.2
Game3,-46,0,-0.2
Game3,-43,-0.1,-0.1
Game3,-36,0.1,-0.2
Game3,-32,-0.3,0.1
Game3,-28,-0.2,-0.2
Game3,-23,-0.1,-0.2
Game3,-16,0.1,0
Game3,-13,0.1,-0.3
Game3,-8,-0.1,0
Game3,-3,-0.1,0
Game3,6,-0.2,0.2
Game3,11,-0.3,0
Game3,16,-0.3,-0.1
Game3,21,-0.3,-0.2
Game3,26,-0.1,-0.3
Game3,31,-0.1,-0.3
Game3,36,-0.2,-0.3
Game3,41,-0.1,-0.3
Game3,46,-0.3,0
Game3,51,-0.3,-0.1
Game3,56,-0.2,-0.3
Game3,61,-0.2,-0.1
Game3,66,-0.3,0
Game3,71,-0.2,-0.2
Game3,76,-0.3,-0.3
Game3,81,-0.3,-0.1
Game3,86,-0.3,-0.1
Game3,91,-0.3,-0.3
Game3,96,-0.2,-0.1
Game3,101,-0.3,-0.1
Game3,106,-0.2,-0.2
Game3,111,-0.1,-0.3
Game3,116,-0.1,-0.1
Game3,121,0,-0.2
Game3,126,-0.2,0
Game3,131,-0.4,0
Game3,136,-0.3,-0.1
Game3,141,-0.3,0.1
Game3,146,-0.4,-0.1
Game3,151,-0.4,0.5
Game3,156,-0.4,0.1
Game3,161,-0.6,-0.8
Game3,168,-0.4,-0.3
Game3,182,-0.7,0
Game3,188,0,-0.3
Game3,217,-0.3,-0.6
Game3,221,0,-0.2
Game4,-97,0.1,-0.8
Game4,-92,-0.1,0.6
Game4,-88,-0.1,0
Game4,-82,-0.1,0
Game4,-78,-0.4,-0.2
Game4,-72,0.1,0.2
Game4,-68,-0.3,0.2
Game4,-63,0.1,-0.2
Game4,-58,0,0.6
Game4,-53,0.2,0
Game4,-48,-0.2,0.8
Game4,-43,-0.1,0.2
Game4,-38,0,0.2
Game4,-33,0,0.2
Game4,-28,-0.2,0
Game4,-23,-0.2,-0.2
Game4,-18,-0.1,0.1
Game4,-13,-0.3,0
Game4,-8,-0.2,0
Game4,-3,-0.3,0
Game4,6,-0.3,-0.1
Game4,11,-0.3,-0.3
Game4,16,-0.3,-0.2
Game4,21,-0.2,-0.2
Game4,26,-0.3,-0.2
Game4,31,-0.4,0.1
Game4,36,-0.3,0
Game4,41,-0.3,-0.2
Game4,46,-0.3,-0.3
Game4,51,-0.1,-0.2
Game4,56,-0.1,-0.3
Game4,61,-0.3,-0.2
Game4,66,-0.2,-0.2
Game4,71,-0.2,-0.2
Game4,76,-0.2,0
Game4,81,-0.2,-0.4
Game4,86,-0.1,0
Game4,91,-0.2,-0.1
Game4,96,-0.3,-0.3
Game4,101,-0.3,-0.3
Game4,106,-0.2,-0.4
Game4,111,0,-0.3
Game4,116,0.1,-0.3
Game4,121,0,-0.3
Game4,126,0,-0.1
Game4,131,-0.4,-0.2
Game4,136,0.1,-0.2
Game4,141,-0.1,-0.2
Game4,147,-0.3,-0.3
Game4,156,0,-0.4
Game4,162,-0.4,-0.2
Game4,167,-0.5,-0.3
Game4,172,-0.1,-0.5
Game5,-62,0.2,0
Game5,-58,0.3,0
Game5,-53,0.1,0
Game5,-48,-0.1,0
Game5,-43,0.1,0
Game5,-38,0.1,0
Game5,-33,0,0
Game5,-28,0.1,0
Game5,-23,0.2,0
Game5,-18,0.1,0
Game5,-13,0.1,0
Game5,-8,0,-0.1
Game5,-3,0,0
Game5,6,-0.1,-0.3
Game5,11,-0.1,-0.3
Game5,16,0,-0.3
Game5,21,-0.2,-0.1
Game5,26,-0.1,-0.2
Game5,31,-0.2,-0.1
Game5,36,-0.3,-0.1
Game5,41,-0.2,-0.1
Game5,46,-0.1,-0.2
Game5,51,-0.2,-0.2
Game5,56,0,-0.3
Game5,61,-0.1,-0.1
Game5,66,-0.2,-0.1
Game5,71,-0.1,-0.2
Game5,76,-0.1,-0.1
Game5,81,0,-0.3
Game5,86,-0.3,-0.3
Game5,91,-0.2,-0.3
Game5,96,-0.2,-0.2
Game5,101,-0.3,-0.2
Game5,106,-0.3,-0.1
Game5,111,-0.3,0
Game5,116,-0.3,-0.2
Game5,121,0,-0.3
Game5,126,0.1,-0.4
Game5,131,-0.2,-0.2
Game5,136,-0.1,0
Game5,141,-0.1,-0.1
Game5,146,-0.3,0.1
Game5,151,-0.5,0.2
Game5,156,-0.4,-0.1
Game5,161,-0.4,-0.1
Game5,166,-0.4,-0.1
Game5,171,-0.3,-0.2
Game5,176,-0.3,-0.1
Game6,-68,-0.2,-0.1
Game6,-63,-0.3,-0.3
Game6,-58,-0.1,-0.3
Game6,-53,0,-0.4
Game6,-48,-0.1,-0.3
Game6,-43,0,-0.4
Game6,-38,0,-0.3
Game6,-33,-0.1,-0.4
Game6,-28,0,-0.4
Game6,-23,-0.1,-0.4
Game6,-18,0,-0.3
Game6,-13,0,-0.2
Game6,-8,0,-0.2
Game6,-3,-0.1,-0.2
Game6,6,-0.1,-0.2
Game6,11,-0.1,-0.1
Game6,16,0,-0.2
Game6,21,0,0
Game6,26,-0.2,-0.1
Game6,31,-0.1,0
Game6,36,0,-0.1
Game6,41,0,-0.1
Game6,46,0.2,0
Game6,51,0.2,0.4
Game6,56,0.2,0.1
Game6,61,0.1,0.5
Game6,66,0.1,-0.3
Game6,71,0.2,0
Game6,76,0.4,-0.1
Game6,86,0.2,-0.4
Game6,94,-0.2,0.1
Game6,101,0.6,0.1
Game6,110,0.4,0
Game6,121,0,-0.4
Game6,128,0.8,-0.5
Game6,137,2.2,-0.6
Game6,145,0,0
Game6,184,0.2,-0.8